id,nome,preco,precoparcelado,descontoPorcentagem,link,vendedor,freteGratis,oferta,OpenBox
383616,"Placa de Video PNY NVIDIA Geforce RTX 3060, 12 GB GDDR6, DLSS, Ray Tracing - VCG306012DFBPB1","2359,99","2622,21",10,https://kabum.com.br/produto/383616/placa-de-video-pny-nvidia-geforce-rtx-3060-12-gb-gddr6-dlss-ray-tracing-vcg306012dfbpb1,KaBuM!,FALSE,"{'idOferta': 722899, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 2234.99, 'precoParcelado': 2483.32, 'descontoPorcentagem': 5, 'disponivel': 97}",FALSE
108351,"Placa de Vídeo GTX 1660 Super Ventus XS OC MSI NVIDIA GeForce, 6GB, GDDR6","1699,99","1999,99",15,https://kabum.com.br/produto/108351/placa-de-video-gtx-1660-super-ventus-xs-oc-msi-nvidia-geforce-6gb-gddr6,KaBuM!,FALSE,"{'idOferta': 721329, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 1449.99, 'precoParcelado': 1705.87, 'descontoPorcentagem': 14, 'disponivel': 270}",FALSE
180539,"Placa de Video RTX 3060 Gaming OC Gigabyte GeForce, 12 GB GDDR6, LHR, Ray Tracing - GV-N3060GAMING OC-12GD (rev 2.0)","2793,99","3104,43",10,https://kabum.com.br/produto/180539/placa-de-video-rtx-3060-gaming-oc-gigabyte-geforce-12-gb-gddr6-lhr-ray-tracing-gv-n3060gaming-oc-12gd-rev-2-0-,KaBuM!,FALSE,"{'idOferta': 722860, 'nomeOferta': 'Mega Maio', 'inicio': '2023-05-01 20:00:00', 'termino': '2023-06-01 08:30:00', 'exclusivoPrime': None, 'preco': 2629.99, 'precoParcelado': 2922.21, 'descontoPorcentagem': 5, 'disponivel': 185}",TRUE
150657,"Placa de Vídeo RTX 3060 1-Click OC Galax GeForce, 12GB GDDR6, LHR, DLSS, Ray Tracing - 36NOL7MD1VOC","2529,99","2811,1",10,https://kabum.com.br/produto/150657/placa-de-video-rtx-3060-1-click-oc-galax-geforce-12gb-gddr6-lhr-dlss-ray-tracing-36nol7md1voc,KaBuM!,FALSE,"{'idOferta': 720394, 'nomeOferta': 'Mega Maio', 'inicio': '2023-05-01 20:00:00', 'termino': '2023-06-02 08:30:00', 'exclusivoPrime': None, 'preco': 2378.99, 'precoParcelado': 2643.32, 'descontoPorcentagem': 5, 'disponivel': 131}",FALSE
155889,"Placa de Vídeo PowerColor Fighter AMD Radeon RX 6700 XT, 16Gbps, 12GB GDDR6, AMD RDNA 2 Architecture e FreeSync - AXRX 6700XT 12GBD6-3DH","2837,99","3153,32",10,https://kabum.com.br/produto/155889/placa-de-video-powercolor-fighter-amd-radeon-rx-6700-xt-16gbps-12gb-gddr6-amd-rdna-2-architecture-e-freesync-axrx-6700xt-12gbd6-3dh,KaBuM!,FALSE,"{'idOferta': 721434, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 2659.99, 'precoParcelado': 2955.54, 'descontoPorcentagem': 6, 'disponivel': 85}",FALSE
401273,"Placa de Vídeo RTX 3060 Ti 1-Click OC Plus SG Galax NVIDIA GeForce, 8 GB GDDR6X, DLSS, Ray Tracing - 36ISM6MD1GSP","3216,99","3784,69",15,https://kabum.com.br/produto/401273/placa-de-video-rtx-3060-ti-1-click-oc-plus-sg-galax-nvidia-geforce-8-gb-gddr6x-dlss-ray-tracing-36ism6md1gsp,KaBuM!,FALSE,"{'idOferta': 723088, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-02 08:00:00', 'exclusivoPrime': None, 'preco': 2989.99, 'precoParcelado': 3517.64, 'descontoPorcentagem': 7, 'disponivel': 59}",FALSE
458892,"Placa de Video RTX 3070 Ti UPRISING Triple Fan PNY NVIDIA GeForce, 8 GB GDDR6X, DLSS, Ray Tracing - VCG3071T8TFMPB","4169,99","4633,32",10,https://kabum.com.br/produto/458892/placa-de-video-rtx-3070-ti-uprising-triple-fan-pny-nvidia-geforce-8-gb-gddr6x-dlss-ray-tracing-vcg3071t8tfmpb,KaBuM!,FALSE,"{'idOferta': 722362, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 3419.99, 'precoParcelado': 3799.99, 'descontoPorcentagem': 17, 'disponivel': 52}",FALSE
399226,"Placa de Vídeo RX 550 Radeon Power Color AMD, 2 GB GDDR5 - AXRX 550 2GBD5-HLE","429,99","505,87",15,https://kabum.com.br/produto/399226/placa-de-video-rx-550-radeon-power-color-amd-2-gb-gddr5-axrx-550-2gbd5-hle,KaBuM!,FALSE,"{'idOferta': 717029, 'nomeOferta': 'Mega Maio', 'inicio': '2023-05-10 07:45:00', 'termino': '2023-06-02 08:30:00', 'exclusivoPrime': None, 'preco': 399.99, 'precoParcelado': 470.58, 'descontoPorcentagem': 6, 'disponivel': 492}",FALSE
417543,"Placa de Vídeo RTX 3060 Verto PNY NVIDIA GeForce, 8 GB GDDR6, DLSS, Ray Tracing - VCG30608DFBPB1","2158,99","2398,88",10,https://kabum.com.br/produto/417543/placa-de-video-rtx-3060-verto-pny-nvidia-geforce-8-gb-gddr6-dlss-ray-tracing-vcg30608dfbpb1,KaBuM!,FALSE,"{'idOferta': 722861, 'nomeOferta': 'Mega Maio', 'inicio': '2023-05-01 20:00:00', 'termino': '2023-06-01 08:30:00', 'exclusivoPrime': None, 'preco': 1999.99, 'precoParcelado': 2222.21, 'descontoPorcentagem': 7, 'disponivel': 148}",FALSE
196694,"Placa de Vídeo GT 210 Galax NVIDIA GeForce, 1GB DDR3, 64 Bits - 21GGF4HI00NP","279,99","311,1",10,https://kabum.com.br/produto/196694/placa-de-video-gt-210-galax-nvidia-geforce-1gb-ddr3-64-bits-21ggf4hi00np,KaBuM!,FALSE,"{'idOferta': 722897, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 219.99, 'precoParcelado': 244.43, 'descontoPorcentagem': 21, 'disponivel': 58}",FALSE
447452,"Placa de Vídeo RTX 4070 Gaming X TRIO 12G MSI NVIDIA GeForce, 12 GB GDDR6X, DLSS, Ray Tracing","5599,99","6588,22",15,https://kabum.com.br/produto/447452/placa-de-video-rtx-4070-gaming-x-trio-12g-msi-nvidia-geforce-12-gb-gddr6x-dlss-ray-tracing,KaBuM!,FALSE,"{'idOferta': 722898, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 4959.99, 'precoParcelado': 5835.28, 'descontoPorcentagem': 11, 'disponivel': 18}",FALSE
